"LOOPID","STAMP","FLAGS","FLAG2","SPEED","LENGTH","BIN1","BIN2","BIN3","BIN4"
8791,2012/6/13 13:24:20,0,8,720.00,0.00,2,0,0,0
8791,2012/6/13 13:24:40,0,8,649.00,0.00,5,3,0,0
8791,2012/6/13 13:25:00,0,8,679.00,0.00,7,0,0,0
8791,2012/6/13 13:25:20,0,8,699.00,0.00,11,1,1,0
8791,2012/6/13 13:25:40,0,8,695.00,0.00,2,3,0,0
8791,2012/6/13 13:26:00,0,8,675.00,0.00,9,1,0,0
8791,2012/6/13 13:26:20,0,8,657.00,0.00,7,3,0,0
8791,2012/6/13 13:26:40,0,8,663.00,0.00,10,1,0,0
8791,2012/6/13 13:27:00,0,8,692.00,0.00,5,0,0,0
8791,2012/6/13 13:27:20,0,8,690.00,0.00,3,3,0,0
8791,2012/6/13 13:27:40,0,8,686.00,0.00,7,5,0,0
8791,2012/6/13 13:28:00,0,8,669.00,0.00,6,2,0,0
8791,2012/6/13 13:28:20,0,8,669.00,0.00,4,0,1,0
8791,2012/6/13 13:28:40,0,8,666.00,0.00,3,3,0,0
8791,2012/6/13 13:29:00,0,8,608.00,0.00,5,1,1,0
8791,2012/6/13 13:29:20,0,8,642.00,0.00,8,2,0,0
8791,2012/6/13 13:29:40,0,8,681.00,0.00,5,0,0,0
8791,2012/6/13 13:30:00,0,8,648.00,0.00,12,1,0,0
8791,2012/6/13 13:30:20,0,8,682.00,0.00,7,1,0,0
8791,2012/6/13 13:30:40,0,8,636.00,0.00,9,0,2,0
8791,2012/6/13 13:31:00,0,8,661.00,0.00,5,1,0,0
8791,2012/6/13 13:31:20,0,8,668.00,0.00,7,0,0,0
8791,2012/6/13 13:31:40,0,8,675.00,0.00,4,1,0,0
8791,2012/6/13 13:32:00,0,8,643.00,0.00,10,4,0,0
8791,2012/6/13 13:32:20,0,8,676.00,0.00,6,1,0,0
8791,2012/6/13 13:32:40,0,8,617.00,0.00,8,3,0,0
8791,2012/6/13 13:33:00,0,8,655.00,0.00,10,2,0,0
8791,2012/6/13 13:33:20,0,8,728.00,0.00,5,0,0,0
8791,2012/6/13 13:33:40,0,8,694.00,0.00,8,2,0,0
8791,2012/6/13 13:34:00,0,8,685.00,0.00,5,1,1,0
8791,2012/6/13 13:34:20,0,8,665.00,0.00,8,0,0,0
8791,2012/6/13 13:34:40,0,8,725.00,0.00,6,2,0,0
8791,2012/6/13 13:35:00,0,8,665.00,0.00,7,1,0,0
8791,2012/6/13 13:35:20,0,8,676.00,0.00,8,1,0,0
8791,2012/6/13 13:35:40,0,8,709.00,0.00,9,1,0,0
8791,2012/6/13 13:36:00,0,8,689.00,0.00,9,1,0,0
8791,2012/6/13 13:36:20,0,8,658.00,0.00,10,2,0,0
8791,2012/6/13 13:36:40,0,8,677.00,0.00,7,1,2,0
8791,2012/6/13 13:37:00,0,8,644.00,0.00,7,1,2,0
